ds,y
2020-01-01,12006.787504156271
2020-01-02,12042.295158489618
2020-01-03,12074.545173673554
2020-01-06,11448.248415921797
2020-01-07,11636.66025946837
2020-01-08,11552.247271985663
2020-01-09,11496.508607299678
2020-01-10,11468.984224202017
2020-01-13,11487.33380654823
2020-01-14,11519.401190044016
2020-01-15,11506.784598276285
2020-01-16,11530.455903443955
2020-01-17,11505.684709173163
2020-01-20,11468.98424801043
2020-01-21,11551.698096852928
2020-01-22,11553.395858463226
2020-01-23,11597.391491480204
2020-01-24,11515.961291657248
2020-01-27,11588.260992545092
2020-01-28,11585.554459783649
2020-01-29,11587.481901129946
2020-01-30,11421.91542388938
2020-01-31,11382.50763042566
2020-02-03,11215.151989153956
2020-02-04,11721.301240091954
2020-02-05,11941.275699093932
2020-02-06,11943.84545866489
2020-02-07,11835.992227134178
2020-02-10,13154.556205966186
2020-02-11,13143.684563279458
2020-02-12,13333.794655388649
2020-02-13,13437.06064208135
2020-02-14,13533.40130685313
2020-02-17,13342.464051559547
2020-02-18,13349.896322428276
2020-02-19,14386.693520680185
2020-02-20,14160.204295174255
2020-02-24,14129.833412814603
2020-02-25,14657.727932780184
2020-02-26,14598.180872535397
2020-02-27,14689.977120851616
2020-02-28,14221.538614752755
2020-03-02,13994.270116273552
2020-03-03,14033.999252884088
2020-03-04,13304.112123304238
2020-03-05,13532.528220632848
2020-03-06,13120.517270321663
2020-03-09,13443.07004908936
2020-03-11,13416.601058037546
2020-03-12,11652.487850503438
2020-03-13,11468.983849392427
2020-03-16,12967.934156957936
2020-03-17,12980.45723840327
2020-03-18,12661.758213781392
2020-03-19,11583.71841312815
2020-03-20,12166.297783181502
2020-03-23,12019.495123173032
2020-03-24,12111.248380690917
2020-03-25,12859.346299135592
2020-03-26,13051.749147929837
2020-03-27,12716.808489996149
2020-03-30,13771.267900864485
2020-03-31,13859.257649755422
2020-04-01,13762.780015145943
2020-04-03,13996.519400330288
2020-04-07,14586.666264225216
2020-04-08,15327.147918051409
2020-04-09,16094.471728517246
2020-04-13,15423.855151902228
2020-04-15,15521.525747185522
2020-04-16,15781.320715967257
2020-04-17,15460.189993165366
2020-04-20,15178.648705740365
2020-04-21,15148.509990866696
2020-04-22,14912.11003960482
2020-04-23,14946.150533376012
2020-04-24,14899.311084672556
2020-04-27,15043.08529347483
2020-04-28,15519.551445780844
2020-04-29,15436.653771289726
2020-04-30,16059.969334915018
2020-05-04,15788.293972428814
2020-05-05,16569.653481228117
2020-05-06,16634.153529679483
2020-05-07,16274.534190472164
2020-05-08,16151.080841913215
2020-05-11,16237.051875379186
2020-05-12,16389.77622862961
2020-05-13,16331.831516673392
2020-05-14,16148.328582998129
2020-05-15,16056.578179276548
2020-05-18,15551.941599418327
2020-05-19,15102.309919938363
2020-05-20,14818.844351583528
2020-05-21,15367.657784282464
2020-05-22,15000.512863416292
2020-05-26,15095.018015948568
2020-05-27,15180.392702996194
2020-05-28,15194.981158818257
2020-05-29,15249.16216002266
2020-06-01,15356.00512333492
2020-06-02,15416.14908000362
2020-06-03,15308.891609690289
2020-06-04,15217.04630045024
2020-06-05,15337.425955071036
2020-06-08,14863.80286064165
2020-06-09,14772.050536715637
2020-06-10,14840.911333896014
2020-06-11,14608.68659268928
2020-06-12,14294.941572429416
2020-06-15,14652.77334409328
2020-06-16,14589.465459053772
2020-06-17,14514.365706351116
2020-06-18,14533.496581363042
2020-06-22,14304.254491782289
