ds,y
2020-01-01,26769.91015625
2020-01-02,26764.27734375
2020-01-03,26873.130859375
2020-01-06,26247.42578125
2020-01-07,26497.521484375
2020-01-08,26299.87890625
2020-01-09,26777.2265625
2020-01-10,27001.263671875
2020-01-13,26722.798828125
2020-01-14,26507.60546875
2020-01-15,26983.818359375
2020-01-16,27544.51171875
2020-01-17,27636.263671875
2020-01-20,27110.912109375
2020-01-21,26920.2421875
2020-01-22,26682.85546875
2020-01-23,26555.708984375
2020-01-24,26649.583984375
2020-01-27,27186.501953125
2020-01-28,27456.56640625
2020-01-29,27649.166015625
2020-01-30,27594.490234375
2020-01-31,27658.361328125
2020-02-03,27471.447265625
2020-02-04,32385.662109375
2020-02-05,33654.3203125
2020-02-06,34144.03125
2020-02-07,33951.97265625
2020-02-10,33753.63671875
2020-02-11,37462.0703125
2020-02-12,36449.1953125
2020-02-13,36386.66015625
2020-02-14,36296.93359375
2020-02-17,35690.31640625
2020-02-18,35150.28125
2020-02-19,34501.74609375
2020-02-20,34515.03515625
2020-02-24,33792.44140625
2020-02-25,33860.46484375
2020-02-26,33464.484375
2020-02-27,32941.36328125
2020-02-28,32664.326171875
2020-03-02,31832.083984375
2020-03-03,32595.3125
2020-03-04,32180.05859375
2020-03-05,33721.05859375
2020-03-06,34346.8125
2020-03-09,33586.6953125
2020-03-11,33356.42578125
2020-03-12,30671.294921875
2020-03-13,31272.328125
2020-03-16,29514.0625
2020-03-17,28718.697265625
2020-03-18,26590.1640625
2020-03-19,24452.384765625
2020-03-20,24893.099609375
2020-03-23,19962.17578125
2020-03-24,21598.630859375
2020-03-25,23915.169921875
2020-03-26,25403.51953125
2020-03-27,24551.15625
2020-03-30,23716.04296875
2020-03-31,25657.716796875
2020-04-01,25031.369140625
2020-04-03,24380.5546875
2020-04-07,25930.001953125
2020-04-08,26494.109375
2020-04-09,27565.96484375
2020-04-13,26551.357421875
2020-04-15,26251.134765625
2020-04-16,26487.583984375
2020-04-17,27072.404296875
2020-04-20,28015.185546875
2020-04-21,27410.341796875
2020-04-22,27696.181640625
2020-04-23,27330.607421875
2020-04-24,27441.046875
2020-04-27,27030.236328125
2020-04-28,27315.134765625
2020-04-29,27908.208984375
2020-04-30,28320.154296875
2020-05-04,27280.578125
2020-05-05,27050.357421875
2020-05-06,26763.677734375
2020-05-07,26738.765625
2020-05-08,26251.0390625
2020-05-11,26566.138671875
2020-05-12,26537.267578125
2020-05-13,27504.271484375
2020-05-14,27273.01171875
2020-05-15,27078.830078125
2020-05-18,26608.404296875
2020-05-19,26710.044921875
2020-05-20,26508.94140625
2020-05-21,26433.353515625
2020-05-22,26454.658203125
2020-05-26,26453.669921875
2020-05-27,26065.408203125
2020-05-28,26649.486328125
2020-05-29,26666.5390625
2020-06-01,27335.302734375
2020-06-02,27249.580078125
2020-06-03,27377.22265625
2020-06-04,27826.1953125
2020-06-05,27871.97265625
2020-06-08,28374.62890625
2020-06-09,28006.28515625
2020-06-10,27676.109375
2020-06-11,27281.6640625
2020-06-12,26920.833984375
2020-06-15,27141.615234375
2020-06-16,26998.845703125
