ds,y
2020-01-01,66011.3359375
2020-01-02,66633.609375
2020-01-03,65921.40625
2020-01-06,64799.56640625
2020-01-07,64723.1484375
2020-01-08,64253.625
2020-01-09,66215.0859375
2020-01-10,66867.7734375
2020-01-13,66304.0546875
2020-01-14,66019.796875
2020-01-15,65554.046875
2020-01-16,66376.828125
2020-01-17,68681.6171875
2020-01-20,67807.3671875
2020-01-21,67279.765625
2020-01-22,67087.2890625
2020-01-23,69166.28125
2020-01-24,69805.9296875
2020-01-27,69539.28125
2020-01-28,69130.0859375
2020-01-29,69568.5390625
2020-01-30,69149.890625
2020-01-31,68940.25
2020-02-03,68763.03125
2020-02-04,70996.59375
2020-02-05,71610.671875
2020-02-06,70925.1875
2020-02-07,70113.5
2020-02-10,72624.25
2020-02-11,70678.0390625
2020-02-12,70907.71875
2020-02-13,70819.125
2020-02-14,71007.59375
2020-02-17,70550.3515625
2020-02-18,69001.734375
2020-02-19,69253.9375
2020-02-20,70037.5
2020-02-24,68190.765625
2020-02-25,68410.578125
2020-02-26,67464.8671875
2020-02-27,66788.71875
2020-02-28,65619.46875
2020-03-02,65401.015625
2020-03-03,66963.9921875
2020-03-04,66301.890625
2020-03-05,66670.515625
2020-03-06,65742.21875
2020-03-09,63600.71875
2020-03-11,62869.83203125
2020-03-12,60054.109375
2020-03-13,65362.01953125
2020-03-16,60644.921875
2020-03-17,61516.4453125
2020-03-18,59402.26171875
2020-03-19,57234.8359375
2020-03-20,58598.0703125
2020-03-23,51366.04296875
2020-03-24,51904.05078125
2020-03-25,55686.96875
2020-03-26,54788.11328125
2020-03-27,55853.13671875
2020-03-30,53793.90234375
2020-03-31,57657.40234375
2020-04-01,54618.68359375
2020-04-03,54477.41796875
2020-04-07,57110.64453125
2020-04-08,56634.9140625
2020-04-09,59442.1171875
2020-04-13,56728.50390625
2020-04-15,56857.2578125
2020-04-16,59738.21484375
2020-04-17,60926.375
2020-04-20,60753.3203125
2020-04-21,58286.6640625
2020-04-22,57637.05859375
2020-04-23,58103.72265625
2020-04-24,58194.60546875
2020-04-27,58593.9140625
2020-04-28,58488.82421875
2020-04-29,58589.5078125
2020-04-30,59913.5859375
2020-05-04,57445.9375
2020-05-05,57163.39453125
2020-05-06,57849.890625
2020-05-07,58233.1171875
2020-05-08,58167.87890625
2020-05-11,58282.16015625
2020-05-12,57161.6640625
2020-05-13,58457.23828125
2020-05-14,57570.375
2020-05-15,57553.60546875
2020-05-18,55847.09765625
2020-05-19,56246.6953125
2020-05-20,56703.7109375
2020-05-21,56890.8125
2020-05-22,56883.58984375
2020-05-26,57171.81640625
2020-05-27,57450.9921875
2020-05-28,57876.578125
2020-05-29,58511.24609375
2020-06-01,60868.2578125
2020-06-02,62030.42578125
2020-06-03,61165.99609375
2020-06-04,61006.05859375
2020-06-05,62897.84765625
2020-06-08,63621.953125
2020-06-09,63292.0
2020-06-10,63191.47265625
2020-06-11,62291.390625
2020-06-12,63052.02734375
2020-06-15,62414.5
2020-06-16,62015.3828125
2020-06-17,62313.76953125
2020-06-18,62312.57421875
2020-06-22,64108.1796875
2020-06-23,63947.4609375
2020-06-24,63495.33984375
2020-06-25,64265.140625
2020-06-26,65738.9609375
2020-06-29,64537.28515625
2020-06-30,66590.2734375
2020-07-01,65166.5078125
2020-07-02,65415.9296875
2020-07-06,66676.265625
2020-07-07,66153.6875
2020-07-08,64717.55859375
2020-07-09,64687.90234375
2020-07-10,64180.14453125
2020-07-13,64023.09375
2020-07-14,63727.0
2020-07-15,63006.30078125
2020-07-16,62858.7421875
2020-07-17,64794.5703125
2020-07-20,64309.9375
2020-07-21,64942.27734375
2020-07-22,63767.28515625
2020-07-23,62724.20703125
2020-07-24,62327.1796875
2020-07-27,61256.3828125
2020-07-28,61512.3359375
2020-07-29,61169.21484375
2020-07-30,60380.40234375
2020-07-31,60418.16796875
2020-08-03,60344.96484375
2020-08-04,60623.640625
2020-08-05,60918.89453125
2020-08-06,60664.72265625
2020-08-07,62049.24609375
2020-08-10,61270.14453125
2020-08-11,60857.26953125
2020-08-12,61016.25390625
2020-08-13,63348.33203125
2020-08-14,60871.6640625
2020-08-17,59575.10546875
2020-08-18,59582.08984375
2020-08-19,59152.9921875
2020-08-20,58884.91015625
2020-08-21,59099.734375
2020-08-24,59021.52734375
2020-08-25,58679.640625
2020-08-26,58720.42578125
2020-08-27,58711.015625
2020-08-28,59013.8515625
2020-08-31,57398.03125
2020-09-01,57731.59375
2020-09-02,58029.08984375
2020-09-03,57961.71484375
2020-09-04,57849.44140625
2020-09-07,57766.4921875
2020-09-08,57616.359375
2020-09-09,58245.1484375
2020-09-10,58517.67578125
2020-09-11,58517.09375
2020-09-14,57998.35546875
2020-09-15,57925.8828125
2020-09-16,59105.515625
2020-09-17,59014.59375
2020-09-18,58332.36328125
2020-09-21,57642.74609375
2020-09-22,57265.95703125
2020-09-23,56734.58203125
2020-09-24,55092.73828125
2020-09-25,56991.2421875
2020-09-28,58778.703125
2020-09-29,58963.57421875
2020-09-30,59060.3046875
2020-10-01,60058.0390625
2020-10-05,59987.1953125
2020-10-06,59754.33984375
2020-10-07,60069.19921875
2020-10-08,59698.85546875
2020-10-09,58272.72265625
2020-10-12,58103.62109375
2020-10-13,58112.140625
2020-10-14,58435.37890625
2020-10-15,57857.25
2020-10-16,57609.578125
2020-10-19,59493.69921875
2020-10-20,59435.80078125
2020-10-21,60494.32421875
2020-10-22,61733.4609375
2020-10-23,63063.95703125
2020-10-26,62745.671875
2020-10-27,67995.3515625
2020-10-28,66196.421875
2020-10-29,66647.109375
2020-10-30,64704.7734375
2020-11-02,65625.4765625
2020-11-03,67133.5078125
2020-11-04,67874.3046875
2020-11-05,67946.5859375
2020-11-06,67934.765625
2020-11-09,69342.8359375
2020-11-10,68793.1171875
2020-11-11,67995.1640625
2020-11-12,68792.9609375
2020-11-13,71351.625
2020-11-14,71234.0546875
2020-11-17,73574.0546875
2020-11-18,74409.84375
2020-11-19,76246.078125
2020-11-20,78440.296875
2020-11-23,79283.9453125
2020-11-24,79145.7578125
2020-11-25,75579.3359375
2020-11-26,75342.734375
2020-11-27,77284.109375
2020-12-01,78929.40625
2020-12-02,79081.65625
