ds,y
2020-09-21,605.4467036938499
2020-09-22,615.9573593881755
2020-09-23,685.9954805242354
2020-09-24,781.0748026951285
2020-09-25,868.3560878292416
2020-09-28,881.5304794821931
2020-09-29,801.80517578125
2020-09-30,748.0415959414504
2020-10-01,734.2858913317925
2020-10-05,747.0244409873162
2020-10-06,776.03746452519
2020-10-07,755.7913022392863
2020-10-08,757.5350065527415
2020-10-09,757.5350615990344
2020-10-12,734.5279628337289
2020-10-13,729.4907619169259
2020-10-14,744.1668279276082
2020-10-15,727.6501450135108
2020-10-16,666.0882940799308
2020-10-19,684.4453569133403
2020-10-20,684.8812213538918
2020-10-21,697.5230507790012
2020-10-22,718.4473640034264
2020-10-23,765.2846094673338
2020-10-26,753.3695807455975
2020-10-27,747.8477850267777
2020-10-28,803.6942296842496
2020-10-29,857.6033260451367
2020-10-30,905.1672190291728
2020-11-02,951.6169280530067
2020-11-03,1009.4977416992188
2020-11-04,959.0277099609376
2020-11-05,911.076416015625
2020-11-06,877.2681327302123
2020-11-09,887.3428385591021
2020-11-10,876.7838644564165
2020-11-11,857.3127092514103
2020-11-12,864.4325847291684
2020-11-13,887.58497616114
2020-11-14,897.0783656628055
2020-11-17,889.2801904449933
2020-11-18,896.3033956835325
2020-11-19,897.0783744041532
2020-11-20,920.279119236642
2020-11-23,934.955171126706
2020-11-24,934.8098011262604
2020-11-25,920.2790287990196
2020-11-26,933.8411050703768
2020-11-27,973.5583742144888
2020-12-01,1038.4135917458386
2020-12-02,1044.3715543221106
2020-12-03,1059.241333291602
2020-12-04,1110.7283300277873
2020-12-07,1135.333798980564
2020-12-08,1119.1561664228827
2020-12-09,1149.0895176083586
2020-12-10,1043.306057295062
2020-12-11,1086.0262314222232
2020-12-14,1066.022209458238
2020-12-15,1059.870907773789
2020-12-16,1084.9606635193431
2020-12-17,1076.3875786378449
2020-12-18,1088.5933172023315
2020-12-21,1015.5524325790068
2020-12-22,978.4019838307544
2020-12-23,1034.5874731840283
2020-12-24,1075.9032674210875
2020-12-28,1085.9293142514252
2020-12-29,1085.9293966768169
2020-12-30,1065.5863690432163
2020-12-31,1056.9648624557728
2021-01-01,1064.6175235226858
2021-01-04,1082.3452158064435
2021-01-05,1112.0847698285393
2021-01-06,1129.521508588993
2021-01-07,1134.365133156006
2021-01-08,1158.9221427787909
2021-01-11,1147.9272342675831
2021-01-12,1118.8656254528864
2021-01-13,1089.80431915299
2021-01-14,1082.0543848113057
2021-01-15,1107.2410854783272
2021-01-18,1080.2142468650989
2021-01-19,1093.1463527248106
2021-01-20,1100.0724602433593
2021-01-21,1143.906855016451
2021-01-22,1149.6223141013377
2021-01-25,1139.2085730072858
2021-01-27,1196.3628398035453
2021-01-28,1106.9504804728026
2021-01-29,1089.9496562177198
2021-02-01,1055.899336428724
2021-02-02,1075.7578966145556
2021-02-03,1083.9920103157892
2021-02-04,1085.7842042910263
2021-02-05,1100.4600483031131
2021-02-08,1128.553105900951
2021-02-09,1152.770848478337
2021-02-10,1191.5193370192274
2021-02-11,1237.0972464179831
2021-02-12,1467.8936550130798
2021-02-15,1481.843074185479
2021-02-16,1705.9067154636225
2021-02-17,1761.1235842584265
2021-02-18,1743.6866986086482
2021-02-19,1749.1598781134996
2021-02-22,1628.4097071303777
2021-02-23,1687.598236606772
2021-02-24,1601.5281232415225
2021-02-25,1617.753882268334
2021-02-26,1570.2868411792442
2021-03-01,1620.3691945543355
2021-03-02,1646.8150869154472
2021-03-03,1687.840201067312
2021-03-04,1655.5337601946694
2021-03-05,1608.0668085827704
2021-03-08,1603.2232282855052
2021-03-09,1553.1889914565545
2021-03-10,1522.916487001838
2021-03-12,1540.3534095197317
2021-03-15,1533.4757151751053
2021-03-16,1546.8439643020135
2021-03-17,1529.5038570216643
2021-03-18,1486.1537280621333
2021-03-19,1444.014725694307
2021-03-22,1487.2194913021806
2021-03-23,1474.3842380620554
2021-03-24,1438.5415348208303
2021-03-25,1351.793023626206
2021-03-26,1376.5922833145837
2021-03-30,1370.7316104275776
2021-03-31,1360.0757421239196
2021-04-01,1375.575132506552
2021-04-05,1405.6052291235983
2021-04-06,1474.6262372126407
2021-04-07,1570.3837699585913
2021-04-08,1640.276561376445
2021-04-09,1608.260267976266
2021-04-12,1477.38711264319
2021-04-13,1479.857478573008
2021-04-15,1435.393155392864
2021-04-16,1439.7524051750418
2021-04-19,1377.7547792184298
2021-04-20,1420.1359040485609
2021-04-22,1426.3359743803342
2021-04-23,1464.3094243862442
2021-04-26,1488.430526831842
2021-04-27,1505.3829026551718
2021-04-28,1530.569464908245
2021-04-29,1540.25663451551
2021-04-30,1546.4564660013814
2021-05-03,1553.0921034168152
2021-05-04,1512.260886461939
2021-05-05,1525.726024237205
2021-05-06,1513.5683668523643
2021-05-07,1549.9437069703758
2021-05-10,1549.9437770585016
2021-05-11,1523.7887604325356
2021-05-12,1516.0386349904195
